1700.015	1700.497	1700.979	1701.461	1701.944	1702.426	1702.908	1703.39	1703.872	1704.354	1704.836	1705.318	1705.801	1706.283	1706.765	1707.247	1707.729	1708.211	1708.693	1709.176	1709.658	1710.14	1710.622	1711.104	1711.586	1712.068	1712.551	1713.033	1713.515	1713.997	1714.479	1714.961	1715.443	1715.926	1716.408	1716.89	1717.372	1717.854	1718.336	1718.818	1719.301	1719.783	1720.265	1720.747	1721.229	1721.711	1722.193	1722.675	1723.158	1723.64	1724.122	1724.604	1725.086	1725.568	1726.05	1726.533	1727.015	1727.497	1727.979	1728.461	1728.943	1729.425	1729.907	1730.39	1730.872	1731.354	1731.836	1732.318	1732.8	1733.282	1733.765	1734.247	1734.729	1735.211	1735.693	1736.175	1736.657	1737.14	1737.622	1738.104	1738.586	1739.068	1739.55	1740.032	1740.515	1740.997	1741.479	1741.961	1742.443	1742.925	1743.407	1743.89	1744.372	1744.854	1745.336	1745.818	1746.3	1746.782	1747.264	1747.747	1748.229	1748.711	1749.193	1749.675	1750.157	1750.639	1751.122	1751.604	1752.086	1752.568	1753.05	1753.532	1754.014	1754.496	1754.979	1755.461	1755.943	1756.425	1756.907	1757.389	1757.871	1758.354	1758.836	1759.318	1759.8	1760.282	1760.764	1761.246	1761.729	1762.211	1762.693	1763.175	1763.657	1764.139	1764.621	1765.104	1765.586	1766.068	1766.55	1767.032	1767.514	1767.996	1768.479	1768.961	1769.443	1769.925	1770.407	1770.889	1771.371	1771.853	1772.336	1772.818	1773.3	1773.782	1774.264	1774.746	1775.228	1775.711	1776.193	1776.675	1777.157	1777.639	1778.121	1778.603	1779.085	1779.568	1780.05	1780.532	1781.014	1781.496	1781.978	1782.46	1782.943	1783.425	1783.907	1784.389	1784.871	1785.353	1785.835	1786.318	1786.8	1787.282	1787.764	1788.246	1788.728	1789.21	1789.693	1790.175	1790.657	1791.139	1791.621	1792.103	1792.585	1793.068	1793.55	1794.032	1794.514	1794.996	1795.478	1795.96	1796.442	1796.925	1797.407	1797.889	1798.371	1798.853	1799.335	1799.817	rad	point
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	0krad 300krad 800krad 1300krad 3000krad	continuous
																																																																																																																																																																																																																class	meta
93.86936	93.91586	93.95307	93.97527	93.98492	93.98767	93.98869	93.99163	93.9987	94.01093	94.02801	94.04801	94.06812	94.08553	94.09879	94.10786	94.1137	94.11763	94.12086	94.12431	94.12846	94.13311	94.13768	94.1413	94.14348	94.1441	94.1438	94.14366	94.14502	94.1487	94.15488	94.16283	94.17175	94.1813	94.19248	94.20714	94.22623	94.24814	94.26879	94.28404	94.29205	94.29335	94.29018	94.28503	94.28027	94.27745	94.27718	94.2789	94.28123	94.28249	94.28155	94.27822	94.27325	94.26768	94.26252	94.2583	94.25529	94.25377	94.2541	94.25681	94.26219	94.26988	94.27866	94.28669	94.29232	94.29515	94.29671	94.30096	94.31395	94.34169	94.3855	94.43774	94.4853	94.51911	94.53859	94.54874	94.55587	94.56562	94.58244	94.60935	94.64727	94.69421	94.74548	94.79569	94.84119	94.88125	94.91723	94.95094	94.98356	95.01524	95.04536	95.07327	95.0988	95.12251	95.14523	95.16783	95.19075	95.21408	95.23759	95.26105	95.28452	95.30814	95.33232	95.35706	95.38204	95.4064	95.42914	95.4493	95.46639	95.48032	95.49126	95.49962	95.50596	95.51108	95.51611	95.52232	95.53075	95.54141	95.55314	95.5639	95.57192	95.5766	95.57877	95.58036	95.5837	95.59083	95.60254	95.61774	95.63358	95.64645	95.65395	95.65578	95.65329	95.64853	95.64324	95.6385	95.63499	95.63316	95.63341	95.63624	95.64191	95.6501	95.65999	95.67036	95.68044	95.69014	95.70028	95.71216	95.72672	95.74333	95.75938	95.77137	95.77709	95.77666	95.77215	95.76616	95.76096	95.75756	95.75586	95.75473	95.75294	95.74975	95.74545	95.7415	95.7398	95.74193	95.74815	95.75695	95.76573	95.77198	95.77457	95.77396	95.77183	95.77018	95.77043	95.77299	95.77721	95.78183	95.78576	95.78849	95.79009	95.7909	95.79104	95.79036	95.78848	95.78542	95.78179	95.77929	95.78014	95.78622	95.79785	95.81281	95.82712	95.8372	95.84161	95.84145	95.83896	95.83636	95.83496	95.83477	95.83493	95.83428	95.83213	95.82863	95.8249	95.82239	95.8223	95.82492	0krad	21.0
94.0835	94.13078	94.1709	94.19739	94.21176	94.21898	94.22391	94.23003	94.23959	94.25365	94.27206	94.29314	94.31434	94.33305	94.34788	94.35879	94.36667	94.3728	94.37846	94.38446	94.39127	94.39854	94.40552	94.41122	94.41508	94.41707	94.41801	94.41929	94.42257	94.42892	94.43864	94.45093	94.46465	94.47913	94.49504	94.51393	94.53672	94.56181	94.58533	94.60325	94.61385	94.61783	94.61745	94.61526	94.61368	94.61418	94.61733	94.62241	94.62797	94.63232	94.63454	94.63467	94.63373	94.6329	94.63303	94.63445	94.63705	94.64069	94.6455	94.65186	94.6602	94.6704	94.68147	94.69171	94.69949	94.7041	94.7068	94.71111	94.72282	94.74791	94.78824	94.83716	94.88251	94.91537	94.93477	94.94504	94.95199	94.96082	94.97565	94.99912	95.03194	95.07219	95.11572	95.15782	95.19565	95.22882	95.25879	95.28715	95.31485	95.34186	95.36742	95.39088	95.41207	95.43156	95.45028	95.46908	95.4885	95.50873	95.52962	95.55096	95.57275	95.59493	95.61763	95.64062	95.66344	95.68536	95.70565	95.72374	95.73937	95.75253	95.76333	95.77193	95.77869	95.78426	95.78959	95.79593	95.80431	95.81489	95.82665	95.83763	95.84605	95.85115	95.85361	95.85515	95.85801	95.86411	95.87441	95.888	95.90243	95.91444	95.92186	95.92435	95.92318	95.92011	95.9167	95.91378	95.91182	95.91101	95.91171	95.91437	95.91946	95.92712	95.93691	95.94796	95.95959	95.97156	95.98428	95.99857	96.01488	96.03224	96.04818	96.05962	96.06488	96.06434	96.06007	96.05447	96.04959	96.04636	96.04461	96.04337	96.04153	96.03851	96.03464	96.03133	96.03049	96.03352	96.04063	96.05027	96.05974	96.06644	96.06914	96.06805	96.0648	96.06127	96.05905	96.05889	96.0607	96.06368	96.06709	96.07047	96.07368	96.07668	96.07916	96.08058	96.0803	96.07799	96.07423	96.07051	96.06925	96.07262	96.08157	96.09451	96.10806	96.11862	96.1246	96.1264	96.12589	96.12492	96.12469	96.12524	96.12589	96.12572	96.12418	96.12155	96.11893	96.11761	96.11867	96.12218	0krad	22.0
93.76523	93.79333	93.81046	93.81608	93.81478	93.81171	93.81026	93.8121	93.81767	93.82664	93.83788	93.84993	93.86121	93.87058	93.87759	93.88228	93.88503	93.88641	93.88718	93.88815	93.88998	93.89297	93.89687	93.90113	93.90511	93.90854	93.91165	93.91521	93.92037	93.92803	93.93848	93.95124	93.96527	93.97957	93.99353	94.00692	94.01925	94.02919	94.03503	94.03573	94.03149	94.02371	94.0143	94.00511	93.9977	93.99303	93.99136	93.99206	93.9939	93.99561	93.99631	93.99593	93.99505	93.99436	93.99443	93.99543	93.99728	93.99991	94.00345	94.00822	94.01441	94.0219	94.02995	94.03752	94.04401	94.04971	94.0565	94.06797	94.08872	94.12228	94.16727	94.21535	94.25574	94.28304	94.29925	94.30997	94.32094	94.33667	94.36028	94.39348	94.4361	94.48561	94.53778	94.58836	94.63487	94.67724	94.71678	94.75484	94.79205	94.82829	94.86304	94.89606	94.92746	94.95781	94.98749	95.01668	95.04512	95.07248	95.09872	95.12439	95.15041	95.17769	95.20636	95.23537	95.2627	95.28614	95.30443	95.31781	95.32771	95.33592	95.34357	95.35123	95.35907	95.36725	95.37624	95.38678	95.39949	95.41419	95.42963	95.44376	95.4548	95.46213	95.46657	95.46991	95.4744	95.48174	95.49238	95.50507	95.51711	95.52564	95.52934	95.52899	95.52677	95.52489	95.52489	95.52726	95.53181	95.53794	95.545	95.55255	95.56042	95.56847	95.57643	95.58386	95.59046	95.5963	95.60199	95.60875	95.61773	95.6291	95.64138	95.65183	95.65815	95.65968	95.65745	95.65334	95.64919	95.64614	95.64451	95.64381	95.64327	95.64246	95.6415	95.64135	95.64308	95.64734	95.6538	95.6609	95.6666	95.6695	95.66949	95.66782	95.6664	95.6669	95.67006	95.67548	95.68175	95.68723	95.69098	95.69315	95.69469	95.69668	95.69975	95.70382	95.70833	95.7127	95.71665	95.72063	95.72558	95.73228	95.74056	95.74883	95.75474	95.75665	95.75463	95.75027	95.74564	95.74249	95.74153	95.74258	95.74462	95.74677	95.7484	95.74975	95.75156	95.75467	95.75938	95.76499	0krad	23.0
94.01336	94.03073	94.03723	94.0354	94.03077	94.02771	94.02842	94.03329	94.04156	94.0517	94.06171	94.06993	94.07552	94.07869	94.08044	94.08167	94.08298	94.0847	94.08715	94.09055	94.09516	94.10094	94.10753	94.11442	94.12112	94.12754	94.13412	94.14175	94.15167	94.16483	94.18159	94.20132	94.22263	94.2436	94.26209	94.27596	94.28327	94.28303	94.27576	94.26337	94.24835	94.23295	94.21899	94.20773	94.19998	94.196	94.19531	94.19673	94.19868	94.19979	94.19936	94.19772	94.19582	94.19476	94.19524	94.19761	94.20174	94.20742	94.21458	94.22326	94.23344	94.24482	94.25674	94.26836	94.27929	94.28993	94.30206	94.31851	94.34258	94.37592	94.41592	94.45494	94.48516	94.50426	94.51576	94.52517	94.53742	94.556	94.58306	94.61945	94.66423	94.71452	94.76626	94.8158	94.86156	94.90401	94.94458	94.98436	95.02347	95.06134	95.09718	95.13079	95.1626	95.19361	95.22464	95.25597	95.28734	95.31804	95.3476	95.37601	95.40386	95.43186	95.46017	95.4878	95.51287	95.53324	95.54786	95.55728	95.56345	95.56853	95.57398	95.58047	95.58807	95.59676	95.60668	95.61813	95.63137	95.64594	95.66063	95.67365	95.6836	95.69017	95.69423	95.69754	95.70202	95.70908	95.71881	95.7298	95.73935	95.74493	95.74572	95.7429	95.73893	95.73608	95.73588	95.73872	95.74429	95.75183	95.76057	95.7699	95.77954	95.7893	95.79893	95.80806	95.81638	95.82374	95.83045	95.83725	95.84489	95.85363	95.86251	95.86987	95.87434	95.87553	95.87431	95.87202	95.86993	95.86871	95.8684	95.86845	95.86819	95.86726	95.86588	95.86491	95.86537	95.86781	95.87205	95.87686	95.88078	95.88284	95.88311	95.88271	95.88303	95.88518	95.88931	95.89461	95.89964	95.90311	95.90472	95.90526	95.90618	95.90873	95.91357	95.92047	95.92866	95.93723	95.94556	95.95361	95.96164	95.96974	95.97725	95.98254	95.98403	95.98119	95.97513	95.96801	95.96207	95.95869	95.95824	95.96001	95.96272	95.96523	95.96696	95.96829	95.97022	95.97361	95.97883	95.98506	0krad	24.0
94.36131	94.37221	94.37473	94.37209	94.36916	94.36922	94.37355	94.38194	94.39316	94.40546	94.41678	94.4256	94.43141	94.435	94.43753	94.44004	94.44297	94.4463	94.45001	94.45402	94.4584	94.4632	94.46832	94.47376	94.47955	94.48611	94.49419	94.50483	94.51892	94.53694	94.5583	94.58152	94.60434	94.6244	94.63956	94.64841	94.65025	94.64554	94.63573	94.62281	94.60862	94.5947	94.58226	94.57219	94.5651	94.56113	94.55988	94.56042	94.56146	94.562	94.56156	94.56051	94.55968	94.55999	94.56198	94.56583	94.5714	94.57853	94.58715	94.59731	94.60886	94.62141	94.63409	94.64603	94.65687	94.66708	94.67839	94.69347	94.7151	94.74448	94.77873	94.81094	94.83459	94.84848	94.85633	94.86327	94.87357	94.89014	94.9146	94.94753	94.98791	95.03336	95.08051	95.12659	95.17038	95.21221	95.25288	95.2927	95.33106	95.36689	95.39928	95.42831	95.45506	95.48119	95.50813	95.5366	95.56643	95.59686	95.62704	95.65642	95.68482	95.71223	95.73811	95.76108	95.7792	95.79088	95.79605	95.79652	95.79513	95.7946	95.79643	95.80092	95.80768	95.81617	95.82605	95.83727	95.84974	95.86304	95.87614	95.88773	95.89679	95.90322	95.90791	95.91238	95.91824	95.92649	95.93686	95.94756	95.95587	95.95953	95.95814	95.95334	95.94791	95.94427	95.94382	95.94689	95.95284	95.96066	95.9692	95.97772	95.98592	95.99389	96.0019	96.01006	96.01837	96.02679	96.03527	96.04403	96.05298	96.06158	96.06861	96.07281	96.07349	96.07107	96.06667	96.06174	96.05745	96.05442	96.05275	96.05205	96.0518	96.05173	96.05205	96.0533	96.05606	96.06045	96.06577	96.07068	96.07368	96.07414	96.07243	96.06984	96.0679	96.06779	96.06973	96.07303	96.07648	96.07892	96.08003	96.08047	96.08138	96.08369	96.08791	96.09373	96.10046	96.10739	96.1141	96.12077	96.12785	96.13562	96.14352	96.15004	96.15341	96.15293	96.14935	96.14457	96.14052	96.1386	96.13914	96.14154	96.14466	96.14745	96.14923	96.15013	96.15078	96.15172	96.15314	96.1545	0krad	25.0
91.71082	91.69913	91.70943	91.73058	91.749	91.75628	91.74937	91.72867	91.69626	91.6552	91.60915	91.56168	91.51537	91.47095	91.42769	91.38369	91.3367	91.28406	91.22285	91.15057	91.06567	90.96827	90.86014	90.7436	90.62003	90.48872	90.34635	90.18774	90.00774	89.8033	89.5749	89.32556	89.05785	88.76979	88.4536	88.09966	87.70644	87.28943	86.87775	86.49819	86.16131	85.85973	85.57526	85.28659	84.97493	84.62767	84.24139	83.82314	83.38915	82.95933	82.55024	82.1697	81.81683	81.48598	81.17212	80.87362	80.59231	80.33135	80.09261	79.87537	79.67706	79.49541	79.33097	79.18748	79.07027	78.9837	78.9297	78.90869	78.92239	78.9766	79.08012	79.23679	79.43701	79.66081	79.8899	80.11529	80.33757	80.56453	80.80931	81.08819	81.41617	81.79952	82.22961	82.68423	83.13872	83.57791	84.00069	84.41623	84.83689	85.2713	85.72018	86.17595	86.62648	87.06072	87.47282	87.86298	88.23599	88.59814	88.9545	89.30714	89.65485	89.99462	90.32378	90.64128	90.94764	91.24303	91.52563	91.79103	92.03387	92.25008	92.43819	92.59957	92.73759	92.85715	92.96413	93.06478	93.16425	93.26486	93.36489	93.4593	93.54259	93.61132	93.66551	93.70802	93.74336	93.77644	93.8113	93.85019	93.89331	93.93907	93.9855	94.03078	94.07381	94.11349	94.14841	94.1769	94.19758	94.20998	94.21539	94.21704	94.21892	94.22406	94.2328	94.24261	94.24965	94.25074	94.24545	94.23703	94.23212	94.23831	94.25988	94.29477	94.33601	94.3762	94.41116	94.4402	94.46484	94.48664	94.50614	94.52238	94.53368	94.53867	94.5374	94.53173	94.52494	94.52062	94.52141	94.52776	94.538	94.54948	94.55996	94.56878	94.57659	94.58469	94.59431	94.60576	94.61852	94.63171	94.64471	94.6573	94.66957	94.68117	94.69108	94.6974	94.69807	94.69161	94.67796	94.65904	94.63871	94.62192	94.61311	94.61417	94.62372	94.63813	94.65376	94.66859	94.68221	94.69494	94.70696	94.71783	94.72652	94.73215	94.7345	94.73431	94.73302	94.73231	94.73338	94.7367	300krad	21.0
90.54839	90.55967	90.5928	90.63469	90.67139	90.69475	90.7021	90.69401	90.67303	90.6434	90.61098	90.58202	90.56102	90.5485	90.54151	90.53529	90.52545	90.50876	90.48322	90.44801	90.40324	90.34969	90.28848	90.22032	90.14496	90.06083	89.96527	89.85514	89.72794	89.58284	89.4211	89.24526	89.05733	88.85698	88.6416	88.4091	88.16283	87.91447	87.67969	87.46915	87.28303	87.11234	86.94378	86.76389	86.56162	86.33028	86.0691	85.78395	85.48647	85.19039	84.90692	84.64111	84.39207	84.15545	83.92731	83.70589	83.49213	83.28824	83.09631	82.9173	82.7514	82.59879	82.46069	82.33916	82.23627	82.15289	82.08878	82.04417	82.02301	82.03531	82.09501	82.20937	82.36867	82.55014	82.73281	82.90646	83.07121	83.23424	83.4074	83.60502	83.84027	84.11929	84.43583	84.77226	85.10834	85.43098	85.73829	86.03703	86.33728	86.64697	86.96835	87.29723	87.62508	87.94308	88.24541	88.53047	88.80036	89.05905	89.31067	89.55803	89.80197	90.04182	90.27651	90.5055	90.72913	90.94779	91.16054	91.36436	91.55481	91.72739	91.87902	92.00857	92.11678	92.20628	92.2813	92.34756	92.41127	92.47694	92.54568	92.6144	92.67798	92.73174	92.77365	92.80466	92.828	92.84822	92.87003	92.89698	92.93079	92.97062	93.01418	93.05855	93.10104	93.13937	93.17143	93.19514	93.20895	93.21248	93.20728	93.1971	93.18686	93.18062	93.17949	93.1812	93.18156	93.17664	93.16515	93.14983	93.1374	93.13642	93.15263	93.18511	93.22707	93.27039	93.30988	93.34415	93.37432	93.40195	93.42762	93.45025	93.4677	93.47796	93.48034	93.47626	93.46899	93.46283	93.46148	93.46666	93.4774	93.49105	93.50466	93.51656	93.52656	93.53573	93.54548	93.55692	93.57035	93.5854	93.60137	93.61729	93.63226	93.64493	93.65353	93.6558	93.64967	93.634	93.60942	93.5789	93.54785	93.52305	93.51062	93.51332	93.52906	93.55225	93.57684	93.599	93.61751	93.63289	93.64609	93.65762	93.66722	93.67438	93.67857	93.67988	93.67892	93.67673	93.67439	93.67283	300krad	22.0
